date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:34	63406/63406	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:28%20GMT	http://exprostudio.com/html/book_library/images/books/img-06.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/books/img-06.jpg	(from http://exprostudio.com/html/book_library/)
11:20:38	66061/66061	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:30%20GMT	http://exprostudio.com/html/book_library/images/books/img-07.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/books/img-07.jpg	(from http://exprostudio.com/html/book_library/)
11:20:39	58271/58271	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:32%20GMT	http://exprostudio.com/html/book_library/images/books/img-08.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/books/img-08.jpg	(from http://exprostudio.com/html/book_library/)
11:20:44	61726/61726	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:32%20GMT	http://exprostudio.com/html/book_library/images/books/img-09.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/books/img-09.jpg	(from http://exprostudio.com/html/book_library/)
11:20:48	62701/62701	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:32%20GMT	http://exprostudio.com/html/book_library/images/books/img-10.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/books/img-10.jpg	(from http://exprostudio.com/html/book_library/)
11:20:49	59057/59057	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:32%20GMT	http://exprostudio.com/html/book_library/images/books/img-11.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/books/img-11.jpg	(from http://exprostudio.com/html/book_library/)
11:20:51	101157/101157	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:40%20GMT	http://exprostudio.com/html/book_library/images/parallax/bgparallax-04.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/parallax/bgparallax-04.jpg	(from http://exprostudio.com/html/book_library/)
11:20:51	5612/5612	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:09%20GMT	http://exprostudio.com/html/book_library/images/author/imag-02.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-02.jpg	(from http://exprostudio.com/html/book_library/)
11:20:53	7235/7235	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:09%20GMT	http://exprostudio.com/html/book_library/images/author/imag-03.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-03.jpg	(from http://exprostudio.com/html/book_library/)
11:20:53	6569/6569	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:09%20GMT	http://exprostudio.com/html/book_library/images/author/imag-04.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-04.jpg	(from http://exprostudio.com/html/book_library/)
11:20:54	5965/5965	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:09%20GMT	http://exprostudio.com/html/book_library/images/author/imag-05.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-05.jpg	(from http://exprostudio.com/html/book_library/)
11:20:55	71078/71078	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:32%20GMT	http://exprostudio.com/html/book_library/images/books/img-12.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/books/img-12.jpg	(from http://exprostudio.com/html/book_library/)
11:20:55	7438/7438	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:09%20GMT	http://exprostudio.com/html/book_library/images/author/imag-06.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-06.jpg	(from http://exprostudio.com/html/book_library/)
11:20:55	5659/5659	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:09%20GMT	http://exprostudio.com/html/book_library/images/author/imag-07.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-07.jpg	(from http://exprostudio.com/html/book_library/)
11:20:56	8928/8928	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:11%20GMT	http://exprostudio.com/html/book_library/images/author/imag-08.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/author/imag-08.jpg	(from http://exprostudio.com/html/book_library/)
11:21:00	101267/101267	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2007:47:40%20GMT	http://exprostudio.com/html/book_library/images/parallax/bgparallax-05.jpg	E:/Kuliah/Semester5/perpus/exprostudio.com/html/book_library/images/parallax/bgparallax-05.jpg	(from http://exprostudio.com/html/book_library/)
